pdf_name,image_name,image_path,result
48.pdf,48_01.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_01.jpeg,RFR HHC
48.pdf,48_02.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_02.jpeg,RFR HHC
48.pdf,48_03.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_03.jpeg,RFR HHC
48.pdf,48_04.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_04.jpeg,Plan of Care (POC)
48.pdf,48_05.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_05.jpeg,Plan of Care (POC)
48.pdf,48_06.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_06.jpeg,Plan of Care (POC)
48.pdf,48_07.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_07.jpeg,Plan of Care (POC)
48.pdf,48_08.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_08.jpeg,Plan of Care (POC)
48.pdf,48_09.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_09.jpeg,Plan of Care (POC)
48.pdf,48_10.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_10.jpeg,Plan of Care (POC)
48.pdf,48_11.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_11.jpeg,RFR HHC
48.pdf,48_12.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_12.jpeg,Plan of Care (POC)
48.pdf,48_13.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_13.jpeg,Plan of Care (POC)
48.pdf,48_14.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_14.jpeg,Plan of Care (POC)
48.pdf,48_15.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_15.jpeg,Plan of Care (POC)
48.pdf,48_16.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_16.jpeg,Plan of Care (POC)
48.pdf,48_17.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_17.jpeg,Plan of Care (POC)
48.pdf,48_18.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_18.jpeg,Plan of Care (POC)
48.pdf,48_19.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_19.jpeg,Plan of Care (POC)
48.pdf,48_20.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_20.jpeg,Plan of Care (POC)
48.pdf,48_21.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_21.jpeg,Plan of Care (POC)
48.pdf,48_22.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_22.jpeg,RFR HHC
48.pdf,48_23.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_23.jpeg,RFR HHC
48.pdf,48_24.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_24.jpeg,RFR HHC
48.pdf,48_25.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_25.jpeg,Plan of Care (POC)
48.pdf,48_26.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_26.jpeg,Plan of Care (POC)
48.pdf,48_27.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_27.jpeg,Plan of Care (POC)
48.pdf,48_28.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_28.jpeg,Plan of Care (POC)
48.pdf,48_29.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_29.jpeg,Plan of Care (POC)
48.pdf,48_30.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_30.jpeg,Plan of Care (POC)
48.pdf,48_31.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_31.jpeg,Plan of Care (POC)
48.pdf,48_32.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_32.jpeg,Plan of Care (POC)
48.pdf,48_33.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_33.jpeg,RFR HHC
48.pdf,48_34.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_34.jpeg,Plan of Care (POC)
48.pdf,48_35.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_35.jpeg,RFR HHC
48.pdf,48_36.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_36.jpeg,Plan of Care (POC)
48.pdf,48_37.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_37.jpeg,Plan of Care (POC)
48.pdf,48_38.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_38.jpeg,RFR HHC
48.pdf,48_39.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_39.jpeg,RFR HHC
48.pdf,48_40.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/48/48_40.jpeg,RFR HHC
49.pdf,49_01.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/49/49_01.jpeg,Plan of Care (POC)
49.pdf,49_02.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/49/49_02.jpeg,Plan of Care (POC)
49.pdf,49_03.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/49/49_03.jpeg,RFR HHC
49.pdf,49_04.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/49/49_04.jpeg,RFR HHC
49.pdf,49_05.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/49/49_05.jpeg,RFR HHC
49.pdf,49_06.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/49/49_06.jpeg,RFR HHC
49.pdf,49_07.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/49/49_07.jpeg,Plan of Care (POC)
49.pdf,49_08.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/49/49_08.jpeg,Plan of Care (POC)
49.pdf,49_09.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/49/49_09.jpeg,Plan of Care (POC)
49.pdf,49_10.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/49/49_10.jpeg,Plan of Care (POC)
49.pdf,49_11.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/49/49_11.jpeg,Plan of Care (POC)
49.pdf,49_12.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/49/49_12.jpeg,Plan of Care (POC)
49.pdf,49_13.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/49/49_13.jpeg,RFR HHC
49.pdf,49_14.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/49/49_14.jpeg,RFR HHC
49.pdf,49_15.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/49/49_15.jpeg,RFR HHC
49.pdf,49_16.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/49/49_16.jpeg,RFR HHC
44.pdf,44_01.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_01.jpeg,Plan of Care (POC)
44.pdf,44_02.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_02.jpeg,MDS
44.pdf,44_03.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_03.jpeg,MDS
44.pdf,44_04.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_04.jpeg,MDS
44.pdf,44_05.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_05.jpeg,MDS
44.pdf,44_06.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_06.jpeg,MDS
44.pdf,44_07.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_07.jpeg,MDS
44.pdf,44_08.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_08.jpeg,MDS
44.pdf,44_09.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_09.jpeg,Plan of Care (POC)
44.pdf,44_10.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_10.jpeg,MDS
44.pdf,44_11.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_11.jpeg,MDS
44.pdf,44_12.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_12.jpeg,MDS
44.pdf,44_13.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_13.jpeg,MDS
44.pdf,44_14.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_14.jpeg,MDS
44.pdf,44_15.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_15.jpeg,MDS
44.pdf,44_16.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_16.jpeg,MDS
44.pdf,44_17.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_17.jpeg,RFR HHC
44.pdf,44_18.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_18.jpeg,Plan of Care (POC)
44.pdf,44_19.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_19.jpeg,RFR HHC
44.pdf,44_20.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_20.jpeg,MDS
44.pdf,44_21.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_21.jpeg,MDS
44.pdf,44_22.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_22.jpeg,MDS
44.pdf,44_23.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_23.jpeg,MDS
44.pdf,44_24.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_24.jpeg,MDS
44.pdf,44_25.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_25.jpeg,MDS
44.pdf,44_26.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_26.jpeg,MDS
44.pdf,44_27.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_27.jpeg,MDS
44.pdf,44_28.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_28.jpeg,MDS
44.pdf,44_29.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_29.jpeg,MDS
44.pdf,44_30.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_30.jpeg,Plan of Care (POC)
44.pdf,44_31.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_31.jpeg,Plan of Care (POC)
44.pdf,44_32.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_32.jpeg,Plan of Care (POC)
44.pdf,44_33.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_33.jpeg,MDS
44.pdf,44_34.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_34.jpeg,MDS
44.pdf,44_35.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_35.jpeg,MDS
44.pdf,44_36.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_36.jpeg,MDS
44.pdf,44_37.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_37.jpeg,RFR HHC
44.pdf,44_38.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_38.jpeg,MDS
44.pdf,44_39.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_39.jpeg,RFR HHC
44.pdf,44_40.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_40.jpeg,MDS
44.pdf,44_41.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_41.jpeg,MDS
44.pdf,44_42.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_42.jpeg,RFR HHC
44.pdf,44_43.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_43.jpeg,MDS
44.pdf,44_44.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_44.jpeg,MDS
44.pdf,44_45.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_45.jpeg,RFR HHC
44.pdf,44_46.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_46.jpeg,MDS
44.pdf,44_47.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_47.jpeg,MDS
44.pdf,44_48.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_48.jpeg,MDS
44.pdf,44_49.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_49.jpeg,MDS
44.pdf,44_50.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_50.jpeg,MDS
44.pdf,44_51.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_51.jpeg,MDS
44.pdf,44_52.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_52.jpeg,MDS
44.pdf,44_53.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_53.jpeg,MDS
44.pdf,44_54.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_54.jpeg,MDS
44.pdf,44_55.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_55.jpeg,RFR HHC
44.pdf,44_56.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_56.jpeg,MDS
44.pdf,44_57.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_57.jpeg,MDS
44.pdf,44_58.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_58.jpeg,RFR Facility
44.pdf,44_59.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_59.jpeg,MDS
44.pdf,44_60.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_60.jpeg,MDS
44.pdf,44_61.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_61.jpeg,MDS
44.pdf,44_62.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_62.jpeg,RFR HHC
44.pdf,44_63.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_63.jpeg,MDS
44.pdf,44_64.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_64.jpeg,MDS
44.pdf,44_65.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_65.jpeg,MDS
44.pdf,44_66.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_66.jpeg,MDS
44.pdf,44_67.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_67.jpeg,MDS
44.pdf,44_68.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_68.jpeg,MDS
44.pdf,44_69.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_69.jpeg,MDS
44.pdf,44_70.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_70.jpeg,MDS
44.pdf,44_71.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_71.jpeg,MDS
44.pdf,44_72.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_72.jpeg,MDS
44.pdf,44_73.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_73.jpeg,MDS
44.pdf,44_74.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_74.jpeg,MDS
44.pdf,44_75.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_75.jpeg,MDS
44.pdf,44_76.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_76.jpeg,MDS
44.pdf,44_77.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_77.jpeg,MDS
44.pdf,44_78.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_78.jpeg,MDS
44.pdf,44_79.jpeg,/datadrive/rakesh/illumifin_poc/Data/root_images/44/44_79.jpeg,MDS
