index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-13742c2f-8b2b-06a2-3615-a45f169c5f25,545.23.08,NVIDIA RTX A5000,1563821010275,Disabled,Disabled

pid,process_name,gpu_uuid,gpu_name,used_memory
2554693,[Not Found],GPU-13742c2f-8b2b-06a2-3615-a45f169c5f25,NVIDIA RTX A5000,9100
986652,ollama,GPU-13742c2f-8b2b-06a2-3615-a45f169c5f25,NVIDIA RTX A5000,486
1194264,gunicorn: worker [parallel_curls_check:app],GPU-13742c2f-8b2b-06a2-3615-a45f169c5f25,NVIDIA RTX A5000,5240

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,0,24564,14871,9375,2024/07/19 17:42:32.537
0,0,24564,14871,9375,2024/07/19 17:42:37.616
0,0,24564,14871,9375,2024/07/19 17:42:42.707
0,0,24564,14871,9375,2024/07/19 17:42:47.798
0,0,24564,14871,9375,2024/07/19 17:42:52.887
0,0,24564,14871,9375,2024/07/19 17:42:57.963
0,0,24564,14871,9375,2024/07/19 17:43:03.061
0,0,24564,14871,9375,2024/07/19 17:43:08.164
0,0,24564,14871,9375,2024/07/19 17:43:13.237
0,0,24564,15086,9161,2024/07/19 17:43:18.292
0,0,24564,15102,9145,2024/07/19 17:43:23.369
0,0,24564,15156,9091,2024/07/19 17:43:28.450
0,0,24564,15440,8807,2024/07/19 17:43:33.545
0,0,24564,15470,8777,2024/07/19 17:43:38.620
0,5,24564,15484,8763,2024/07/19 17:43:43.663
