imagename,values,gt_label,probs,predicted_label,pred_1_0
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_226_0,"[[1.0, 2.0575373274705266e-19, 6.924777411541526e-27], [0.10672714561223984, 0.8932729363441467, 6.406201680242418e-10]]",PO,[5.53363573e-01 4.46636468e-01 3.20310084e-10],PO,1
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_352_1,"[[0.9999886751174927, 1.1379561328794807e-05, 3.91707077735301e-17]]",PO,[9.99988675e-01 1.13795613e-05 3.91707078e-17],PO,1
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_163_page_3,"[[8.366805105729583e-16, 0.0005402934621088207, 0.9994596838951111]]",OTHERS,[8.36680511e-16 5.40293462e-04 9.99459684e-01],OTHERS,1
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_150_page_1,"[[0.08271303027868271, 1.2847962693740556e-07, 0.9172868132591248]]",OTHERS,[8.27130303e-02 1.28479627e-07 9.17286813e-01],OTHERS,1
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_240_6,"[[1.0, 5.822763221521667e-17, 4.529412027230733e-25], [1.0, 2.6030791541892544e-16, 1.0832237082937337e-21]]",PO,[1.00000000e+00 1.59267774e-16 5.41838325e-22],PO,1
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_325_3,"[[1.0, 2.5856425766675852e-30, 1.8816561510135034e-38]]",PO,[1.00000000e+00 2.58564258e-30 1.88165615e-38],PO,1
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_254_0,"[[1.0, 2.4165116282424203e-21, 2.7666850781820804e-24]]",PO,[1.00000000e+00 2.41651163e-21 2.76668508e-24],PO,1
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_269_14,"[[1.0, 3.352578728503614e-27, 3.2897225775376816e-23]]",PO,[1.00000000e+00 3.35257873e-27 3.28972258e-23],PO,1
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_254_1,"[[1.0, 1.7397456513671345e-20, 1.9218631507166678e-27]]",PO,[1.00000000e+00 1.73974565e-20 1.92186315e-27],PO,1
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_218_3,"[[0.9599098563194275, 0.04009014740586281, 9.068153415314268e-17]]",PO,[9.59909856e-01 4.00901474e-02 9.06815342e-17],PO,1
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_78_page_3,"[[1.0, 2.3483100772096754e-13, 2.2316373193831396e-09]]",OTHERS,[1.00000000e+00 2.34831008e-13 2.23163732e-09],PO,0
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_47_page_1,"[[0.02567283995449543, 1.6614055908803493e-08, 0.9743271470069885]]",OTHERS,[2.56728400e-02 1.66140559e-08 9.74327147e-01],OTHERS,1
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_291_0,"[[1.0, 3.2137639581876834e-14, 5.3346266071230275e-08], [1.0, 1.3684180118218974e-31, 8.316391194779442e-31], [0.9999624490737915, 3.7517402233788744e-05, 4.0723226521618625e-15]]",PO,[9.99987483e-01 1.25058008e-05 1.77820900e-08],PO,1
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_353_0,"[[1.0, 1.044447653364422e-10, 2.3480544082554806e-17], [3.595341246942496e-10, 1.0, 4.734172749904053e-20]]",PO,[5.00000000e-01 5.00000000e-01 1.17639429e-17],PO,1
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_71_page_0,"[[2.8539751941933367e-13, 1.8498454911612166e-20, 1.0], [1.970027873471336e-14, 1.2332487368623313e-15, 1.0], [4.327375402457534e-10, 0.8560083508491516, 0.14399169385433197]]",OTHERS,[1.44347546e-10 2.85336117e-01 7.14663898e-01],OTHERS,1
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_325_2,"[[1.0, 3.470578915452264e-27, 2.057075441004663e-33]]",PO,[1.00000000e+00 3.47057892e-27 2.05707544e-33],PO,1
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_269_8,"[[1.0, 2.55165284718305e-29, 9.516734555782632e-30]]",PO,[1.00000000e+00 2.55165285e-29 9.51673456e-30],PO,1
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_243_0,"[[1.0, 3.7329053693621606e-14, 5.9960690860963745e-21], [0.9999645948410034, 3.543516868376173e-05, 1.816712940920292e-24]]",PO,[9.99982297e-01 1.77175844e-05 2.99894290e-21],PO,1
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_163_page_7,"[[4.1303079614030414e-19, 3.2248099401522814e-18, 1.0]]",OTHERS,[4.13030796e-19 3.22480994e-18 1.00000000e+00],OTHERS,1
/home/ntlpt19/Downloads/Eval_classification/LC/PI/Proforma_Invoice(2013_01_10_13_53_48_7045)_503_0,"[[8.739462625806382e-11, 1.0, 1.060417499710079e-22], [0.10574737191200256, 0.30854642391204834, 0.5857061743736267]]",PI,[0.05287369 0.65427321 0.29285309],PI,1
/home/ntlpt19/Downloads/Eval_classification/LC/PI/Proforma_Invoice(2013_01_10_13_52_54_0394)_500_0,"[[2.8895776722492883e-06, 0.9999971389770508, 7.823816737998921e-21], [1.8156905312594063e-08, 1.0, 6.532715257634436e-09]]",PI,[1.45386729e-06 9.99998569e-01 3.26635763e-09],PI,1
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_276_page_5,"[[0.992490828037262, 1.2441120134099037e-08, 0.007509217131882906]]",OTHERS,[9.92490828e-01 1.24411201e-08 7.50921713e-03],PO,0
/home/ntlpt19/Downloads/Eval_classification/LC/PI/Proforma_Invoice(2012_08_21_17_37_37_7580)_82_0,"[[8.000380869591414e-18, 1.0, 4.890303090523437e-21], [1.7044895226150936e-12, 1.0, 2.575818162679939e-22]]",PI,[8.52248761e-13 1.00000000e+00 2.57394245e-21],PI,1
