Image Name,Ground Truth,Predicted,Confidence Score
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_226_0.png,PO,PO,0.9999850988388062
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_352_1.png,PO,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_163_page_3.png,OTHERS,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_150_page_1.png,OTHERS,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_240_6.png,PO,OTHERS,0.9999630451202393
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_325_3.png,PO,OTHERS,0.9997469782829285
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_254_0.png,PO,PO,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_269_14.png,PO,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_254_1.png,PO,OTHERS,0.9616557955741882
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_218_3.png,PO,OTHERS,0.9206884503364563
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_78_page_3.png,OTHERS,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_47_page_1.png,OTHERS,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_291_0.png,PO,OTHERS,0.9993828535079956
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_353_0.png,PO,PO,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_71_page_0.png,OTHERS,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_325_2.png,PO,PO,0.999998927116394
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_269_8.png,PO,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_243_0.png,PO,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_163_page_7.png,OTHERS,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/PI/Proforma_Invoice(2013_01_10_13_53_48_7045)_503_0.png,PI,PI,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/PI/Proforma_Invoice(2013_01_10_13_52_54_0394)_500_0.png,PI,PI,0.9999973773956299
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_276_page_5.png,OTHERS,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/PI/Proforma_Invoice(2012_08_21_17_37_37_7580)_82_0.png,PI,PI,0.9999603033065796
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_240_4.png,PO,OTHERS,0.9999982118606567
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_284_page_3.png,OTHERS,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_171_page_2.png,OTHERS,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_259_0.png,PO,PO,0.9999749660491943
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_273_page_1.png,OTHERS,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/PI/Proforma_Invoice(2013_01_10_13_52_31_4878)_498_0.png,PI,PI,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_149_page_8.png,OTHERS,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_329_2.png,PO,OTHERS,0.9950687885284424
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_284_page_4.png,OTHERS,OTHERS,0.9750506281852722
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_269_13.png,PO,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_290_0.png,PO,OTHERS,0.9999990463256836
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_282_0.png,PO,OTHERS,0.9443889856338501
/home/ntlpt19/Downloads/Eval_classification/LC/PI/Proforma_Invoice_33_0.png,PI,PI,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_224_0.png,PO,PO,0.9986366629600525
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_276_page_1.png,OTHERS,PI,0.999640941619873
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_193_0.png,PO,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_201_1.png,PO,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_354_0.png,PO,OTHERS,0.5984057784080505
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_232_page_1.png,OTHERS,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_57_page_2.png,OTHERS,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_255_0.png,PO,OTHERS,0.9983682036399841
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_350_0.png,PO,OTHERS,0.9999974966049194
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_48_page_1.png,OTHERS,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_324_0.png,PO,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_261_page_5.png,OTHERS,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/OTHERS/Insurance_Certificate_78_page_1.png,OTHERS,OTHERS,1.0
/home/ntlpt19/Downloads/Eval_classification/LC/PO/Purchase_Order_By_Opener_248_2.png,PO,OTHERS,1.0
