TEXT,LABELS,BOUNDING_BOXES,token_ids,tokenized_text,tokenized_text_label_ids,tokenized_text_label
FEIYA,O,"[134, 78, 372, 119]",101,[CLS],-100,O
飞,O,"[390, 84, 444, 121]",24664,fei,34,O
雅,O,"[446, 85, 494, 122]",3148,##ya,-100,O
电子,O,"[506, 86, 610, 124]",100,[UNK],34,O
有限公司,O,"[620, 89, 837, 129]",100,[UNK],34,O
Feiya,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[397, 124, 469, 147]",100,[UNK],34,O
Electronic,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[476, 125, 614, 148]",1816,子,-100,O
Corporation,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[624, 127, 786, 150]",1873,有,34,O
Ltd,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[800, 129, 840, 150]",100,[UNK],-100,O
No.,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[68, 178, 90, 190]",1772,公,-100,O
1608,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[95, 178, 119, 190]",1791,司,-100,O
",",S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[122, 178, 125, 190]",24664,fei,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
3,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[130, 178, 137, 190]",3148,##ya,-100,O
Zone,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[139, 178, 169, 190]",4816,electronic,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
",",S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[169, 178, 174, 190]",3840,corporation,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
tianjian,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[177, 178, 224, 191]",5183,ltd,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
shi,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[229, 179, 246, 191]",2053,no,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
shang,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[251, 179, 283, 191]",1012,.,-100,O
kong,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[288, 179, 317, 192]",8148,160,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
jian,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[318, 180, 343, 192]",2620,##8,-100,O
",",S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[342, 180, 347, 192]",1010,",",49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
xing,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[350, 180, 375, 192]",1017,3,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
hua,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[380, 180, 399, 192]",4224,zone,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
west,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[406, 181, 431, 193]",1010,",",49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
road,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[436, 181, 459, 193]",23401,tian,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
",",S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[461, 181, 464, 193]",27685,##jian,-100,O
xin,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[469, 181, 484, 193]",11895,shi,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
-,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[486, 181, 493, 193]",29382,shang,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
an,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[491, 181, 503, 193]",4290,kong,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
street,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[510, 182, 538, 194]",29214,jian,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
",",S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[540, 182, 541, 194]",1010,",",49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
Bao'an,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[546, 182, 590, 194]",8418,xi,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
Centre,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[597, 182, 634, 195]",3070,##ng,-100,O
District,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[639, 184, 681, 195]",23064,hua,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
",",S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[681, 184, 684, 195]",2225,west,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
ShenZhen,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[686, 184, 743, 198]",2346,road,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
City,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[746, 185, 771, 197]",1010,",",49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
",",S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[771, 185, 776, 197]",8418,xi,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
Guangdong,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[780, 184, 845, 198]",2078,##n,-100,O
",",S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[843, 186, 850, 198]",1011,-,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
518101,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[852, 186, 894, 198]",2019,an,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
China,O,"[33, 194, 65, 204]",2395,street,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
.,O,"[67, 197, 73, 204]",1010,",",49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
Tel,O,"[176, 214, 196, 225]",25945,bao,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
:,O,"[196, 214, 199, 225]",1005,',-100,O
86-0755-29796734,O,"[203, 214, 333, 225]",2019,an,-100,O
Fax,O,"[374, 216, 399, 228]",2803,centre,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
:,O,"[399, 216, 404, 228]",2212,district,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
86-0755-27860307,O,"[406, 214, 535, 229]",1010,",",49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
E,O,"[583, 218, 593, 230]",26555,shenzhen,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
-,O,"[593, 218, 598, 230]",2103,city,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
mail,O,"[600, 218, 629, 230]",1010,",",49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
:,O,"[627, 218, 632, 230]",21287,guangdong,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
Jeremy@feiyaeclt.com,O,"[637, 218, 790, 233]",1010,",",49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
SOLD,O,"[78, 342, 122, 352]",4868,51,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
TO,O,"[125, 342, 147, 352]",2620,##8,-100,O
:,O,"[151, 342, 156, 352]",10790,##10,-100,O
ADDRESS,O,"[78, 365, 151, 375]",2487,##1,-100,O
:,O,"[154, 365, 159, 375]",2859,china,34,O
P,O,"[156, 427, 164, 434]",1012,.,34,O
/,O,"[164, 427, 171, 434]",10093,tel,34,O
N,O,"[172, 427, 184, 434]",1024,:,34,O
Attention,O,"[585, 346, 656, 357]",6564,86,34,O
:,O,"[659, 347, 662, 356]",1011,-,-100,O
Atul,O,"[669, 347, 701, 356]",5718,07,-100,O
Kumar,O,"[706, 349, 760, 357]",24087,##55,-100,O
WINNER,S-consinee_name,"[172, 342, 239, 353]",1011,-,-100,O
DEVICES,S-consinee_name,"[241, 343, 312, 355]",27502,297,-100,O
&,S-consinee_name,"[317, 343, 327, 353]",2683,##9,-100,O
DISPLAY,S-consinee_name,"[335, 343, 401, 355]",2575,##6,-100,O
PVT,S-consinee_name,"[406, 344, 437, 355]",2581,##7,-100,O
.,S-consinee_name,"[436, 344, 441, 355]",22022,##34,-100,O
LTD,S-consinee_name,"[444, 344, 474, 355]",6904,fa,34,O
RZ,S-consignee_address,"[192, 365, 213, 376]",2595,##x,-100,O
-,S-consignee_address,"[213, 365, 218, 376]",1024,:,34,O
B,S-consignee_address,"[218, 365, 228, 376]",6564,86,34,O
-,S-consignee_address,"[229, 365, 234, 376]",1011,-,-100,O
15,S-consignee_address,"[236, 365, 250, 376]",5718,07,-100,O
",",S-consignee_address,"[253, 365, 256, 376]",24087,##55,-100,O
Sita,S-consignee_address,"[261, 365, 286, 376]",1011,-,-100,O
Puri,S-consignee_address,"[290, 365, 320, 376]",24709,278,-100,O
Extention,S-consignee_address,"[322, 366, 385, 377]",16086,##60,-100,O
Part,S-consignee_address,"[392, 366, 419, 377]",14142,##30,-100,O
-,S-consignee_address,"[422, 366, 427, 377]",2581,##7,-100,O
1,S-consignee_address,"[436, 366, 441, 377]",1041,e,34,O
",",S-consignee_address,"[444, 366, 447, 377]",1011,-,34,O
Near,S-consignee_address,"[451, 368, 484, 378]",5653,mail,34,O
Dabri,S-consignee_address,"[489, 368, 525, 378]",1024,:,34,O
Mode,S-consignee_address,"[531, 368, 568, 378]",7441,jeremy,34,O
New,S-consignee_address,"[573, 368, 605, 380]",1030,@,-100,O
Delhi,S-consignee_address,"[609, 369, 645, 380]",24664,fei,-100,O
-,S-consignee_address,"[651, 369, 657, 380]",3148,##ya,-100,O
110045,S-consignee_address,"[664, 369, 711, 380]",8586,##ec,-100,O
India,S-consignee_address,"[714, 370, 750, 381]",7096,##lt,-100,O
.,S-consignee_address,"[748, 370, 755, 381]",1012,.,-100,O
Telephone,O,"[189, 394, 268, 407]",4012,com,-100,O
:,O,"[276, 394, 280, 407]",2853,sold,34,O
91-9811486055,O,"[280, 394, 401, 407]",2000,to,34,O
wm0162A,O,"[75, 460, 154, 470]",1024,:,34,O
-,O,"[156, 460, 161, 470]",4769,address,34,O
HPP,O,"[164, 460, 199, 470]",1024,:,34,O
GERI,O,"[204, 460, 253, 470]",1052,p,34,O
PROFORMA,O,"[310, 257, 456, 273]",1013,/,34,O
INVOICE,O,"[479, 258, 624, 274]",1050,n,34,O
WM,O,"[75, 494, 109, 504]",3086,attention,34,O
-,O,"[112, 494, 117, 504]",1024,:,34,O
0432,O,"[119, 494, 154, 504]",2012,at,34,O
ASD,O,"[161, 494, 196, 505]",5313,##ul,-100,O
.,O,"[197, 495, 201, 505]",9600,kumar,34,O
PCB,O,"[208, 495, 243, 505]",3453,winner,17,S-consinee_name
Order,O,"[498, 287, 548, 298]",5733,devices,17,S-consinee_name
No,O,"[548, 287, 568, 298]",1004,&,17,S-consinee_name
.:,O,"[572, 287, 582, 298]",4653,display,17,S-consinee_name
