Field,Original Count,Predicted Count,verify_from_report_original,verify_from_report_predicted
beneficiary_drawer_exporter_seller_supplier_name,159,155,108,101
beneficiary_address,156,153,105,98
invoice_no,153,150,107,106
date_of_invoice,154,152,104,95
cosignee_name,147,124,99,91
consignee_address,136,122,97,96
pre-carriage-by,42,0,14,1
port_of_loading,67,65,37,31
country_of_final_destination,60,70,43,40
country_of_origin_of_goods,63,43,30,15
goods_description,122,129,97,89
total_quantity_of_goods,103,118,83,68
rate_per_unit,107,94,62,53
invoice_currency,122,141,87,76
invoice_discount_amount,39,1,21,14
invoice_discount_ccy,29,37
invoice_amount,155,150,103,96
invoice_amount_in_words,102,111,84,69
bill_of_lading_no,45,47,20,17
bill_of_lading_date,45,52,16,13
signature_of_the_issuer,104,122,86,53
declaration_by_issuer,112,102,93,70
port_of_discharge,47,22,38,29
beneficiary_bank_name,25,30,27,24
original_or_copy,25,9,43,43
remitter_drawee_applicant_importer_buyer_name,54,56,53,50
remitter_address,54,53,58,49
lc_ref_no,42,22,42,37
lc_date,42,29,40,36
usance_tenor,31,34,30,28
tenor_indicator,31,37,29,27
page_no,24,24,32,28
invoice_due_date,19,7,9,7
beneficiary_account_number,26,0,10,1
beneficiary_drawer_exporter_seller_supplier_tin,15,46,53,50
delivery_terms,21,29,35,28
beneficiary_iban_number,7,0
beneficiary_bank_country,14,0,10,3
indicator_type,8,8,9,8
indicator_date,9,13,11,10
gross_weight,20,0,30,19
net_weight,14,15,35,21
tenor_type,4,2,7,2
hs_code_no,7,0,6,0
dimension,2,0,1,0
vessel_flight_no,5,8,13,11
consignor_name,1,0,2,0
consignor_address,2,0,2,0
notify_party_name,4,1,10,4
notify_party_address,2,7,10,4
invoice_tax_amount,3,0,13,0
incoterm,4,4,11,9
shipper_name,1,0,2,0
shipper_address,1,2,3,2
awb_number,2,0,4,1
awb_date,2,0,3,0
vessel_name,0,47,19,14
stamp,0,58,47,19
signature,0,16,38,24
transaction_date,0,0,0,0
remitter_country,0,0,0,0
consignee_country,0,0,0,0
notify_party_country,0,0,0,0
beneficiary_country,0,0,0,0
consignor_country,0,0,0,0
shipper_country,0,0,0,0
transaction_currency,0,0,0,0
transaction_amonunt_value,0,0,0,0
invoice_tax_ccy,0,0,0,0
beneficiary_bank_identifier,0,0,0,0
